,rating,text,timestamp,rob_neg,rob_neu,rob_pos
0,4,Not sure if it’s worth it if it’s not completely accurate,2022-12-01 02:17:07.139,0.17409631609916687,0.3393182158470154,0.486585408449173
1,5,Great!,2022-06-28 15:41:41.830,0.02577720768749714,0.03887267783284187,0.9353501200675964
2,5,Stores are sold out and this is so easy to use and read! I recommend this.,2022-12-23 15:49:52.046,0.017227279022336006,0.012007125653326511,0.9707655906677246
3,1,Waste of money. It varies more than a degree between repeat scans. Ugh!,2020-08-21 11:37:54.561,0.31123071908950806,0.262516051530838,0.42625316977500916
4,5,"Very easy to use, 1 button touch that accurately records temp.",2020-10-21 17:54:19.216,0.019263384863734245,0.024955207481980324,0.9557814598083496
5,5,Best feature of this is being able to use it on a sleeping person. You can check a kids temperature without waking him/her up. Love it!!!,2022-03-07 01:18:19.085,0.018216606229543686,0.015918048098683357,0.9658653140068054
6,1,This thermometer absolutley doesn't work.  Worst purchase ever!!,2022-08-26 15:14:30.094,0.40511399507522583,0.23210255801677704,0.3627834618091583
7,1,Always between 97.3 and 97.8. Tested with 2 other thermometers in the house and this was way way off. Daughter had a fever and it still said 97.3. Something wrong with this thermometer.,2021-03-10 07:42:07.184,0.2796403467655182,0.29899513721466064,0.4213644564151764
8,5,Exactly as advertised. Fast and easy to use and a minimalistic look,2020-06-27 04:44:05.109,0.020383933559060097,0.03634469583630562,0.9432713985443115
9,5,"Work great, I needed it",2021-01-19 02:24:30.333,0.02338741347193718,0.023259904235601425,0.9533526301383972
10,3,"I can't say if this is the one at fault, might be the other two.  But all three are .4 degrees different than each other consistently.  0.8 total variance is a lot.",2020-10-24 19:28:52.504,0.17760369181632996,0.36471623182296753,0.4576800465583801
11,5,The product is very easy to use. Any age group can use this product without any issues. It displays the temperature in the hidden display.,2020-07-20 04:34:45.401,0.015889998525381088,0.01804141141474247,0.9660685658454895
12,5,Got one for each family member. Good design and easy to read. Compact for travel and quite to use on sleeping patient.,2021-01-05 17:31:47.716,0.014131185598671436,0.024777239188551903,0.9610915780067444
13,5,I bought this product for easy temperature readings of those in my household whenever needed.  The price was also reasonable.,2020-12-03 19:03:10.140,0.021941697224974632,0.03816872090101242,0.9398896098136902
14,4,Love it. Correct reading,2020-12-08 02:03:41.154,0.03003901056945324,0.027274329215288162,0.9426867365837097
15,5,Well worth the money works Great,2022-01-15 00:27:09.937,0.028095608577132225,0.032306499779224396,0.9395979046821594
16,5,This one seems to give a good and LIGHTNING fast reading. Let it get to room temp before using. Not too close or too far from forehead and I place above the center of my eyebrows.,2023-01-17 21:46:59.863,0.019233761355280876,0.04494553059339523,0.9358206987380981
17,5,"I had a regular digital thermometer, and this one popped up on sale. I decided I'd give it a shot since, you know, pandemic and whatnot. I haven't gotten sick (not bragging or saying it's because of this), but the few times I've felt weird or I'll, this gives a pretty concise temp fairly quickly.<br /><br />Looks kinda star trekky too. All in all I'm glad to have it in the medicine cabinet!",2022-08-25 08:51:11.072,0.025370704010128975,0.02580845169723034,0.9488208889961243
18,1,Not accurate temps,2020-05-14 21:57:08.636,0.2210146188735962,0.3683847188949585,0.4106006920337677
19,1,It just is NOT accurate. Point blank period. Its accurate when it wants to be wether or not brand new batteries are in it. Totally not reliable.,2022-09-04 21:38:31.597,0.1355450600385666,0.15834622085094452,0.7061086893081665
20,5,"Never thought I’d ever see a time when I couldn’t find a thermometer. But now, they are hard to find and the ones you do find are super expensive. This one is economical and easy to use. Just point and press the button. No worrying about disinfecting the thermometer because it never touches the skin. Also the read out is large and easy to read in a dimly lit or dark room",2020-06-24 04:53:53.888,0.03988855332136154,0.05080025643110275,0.9093111157417297
21,5,"This thermometer works as it is said to. It's very simple and easy to use and perfectly accurate. It doesn't stay on a half day and drain the battery. It looks and feels like a professional instrument, not a cheap light plastic toy.",2020-06-29 15:35:49.934,0.025730639696121216,0.02643657475709915,0.9478327631950378
22,5,"This is my go to for precise temp readings! It’s simple to use, hold in hand, click once to turn on, put to forehead and click again and in a second it vibrates with 💯% accurate temp scans! Highly recommended!",2021-05-04 05:22:38.789,0.014117404818534851,0.015534819103777409,0.9703477621078491
23,1,DO NOT WAST YOUR MONEY! I’m so upset about this purchase,2020-07-24 19:50:57.355,0.4326954483985901,0.24068570137023926,0.32661885023117065
24,1,"I bought four different non-contact thermometers from Amazon and they all show different temperatures. And the difference is up to 1.5 degrees Celsius. Who to believe? Where's my good old mercury thermometer?<br />P.S. A day later. A great coffee substitute, a kind of dope. At 1 am you measure the child's temperature. The thermometer shows 38.8C. Silent panic in the house, feverishly going to go to the hospital. Luckily, you find a mercury thermometer that reads 37.2C. If you want adrenaline, then this is for you. ""Amazon choice""...",2022-06-08 23:07:56.079,0.04144488647580147,0.05886844918131828,0.8996866345405579
25,5,Easy to use and read.  Sometimes if I take my temp it seems low so I take it again and it’s higher.  Maybe I just need to have it in the right place or the right distance.  Anyway I am pleased to have it.,2020-09-07 20:59:02.559,0.026151547208428383,0.03011896088719368,0.9437295198440552
26,5,The thermometer work well.,2020-09-09 19:58:37.373,0.022717511281371117,0.07934121042490005,0.8979412913322449
27,5,"It's easy to use and great to have around when it's really needed. Kinda mad that it's now half the cost it was when I bought it, but whatever...If you have babies/small children this is awesome because you can take the temp without actually touching them while they sleep.",2021-07-17 15:45:51.363,0.025512734428048134,0.019475189968943596,0.9550120234489441
28,5,Love this thing and easy to use.,2021-05-13 03:26:11.275,0.01799379102885723,0.011220916174352169,0.9707852602005005
29,2,"I bought this product last year when COVID-19 was at its peak and these thermometers were hard to come by, so maybe I just got a bad batch. But the temp reading for this is very unreliable. We've used it numerous times since purchasing last year, and now we've decided we won't rely on it any longer and will find a new one.",2021-06-22 16:22:27.155,0.09008574485778809,0.13565318286418915,0.7742611169815063
30,5,"Since I have to check my temperature before going to work each day, I needed something reliable, fast, and accurate. This thermometer returns a reading in under 2 seconds with the push of a button, and the display is bright and easy to read in the dark.",2020-12-09 05:18:31.749,0.023625943809747696,0.0436721108853817,0.9327018857002258
31,1,"Erroneous readings, sent it back.",2021-03-17 15:31:03.469,0.07984260469675064,0.2803972661495209,0.6397601366043091
32,2,Nice for classroom,2023-01-07 13:17:40.065,0.02531847544014454,0.04311821237206459,0.9315632581710815
